Date,Close,Open,High,Low,Volume
2022-02-17,140.15,139.3,140.98,138.11,1034911
2022-02-18,140.49,139.54,142.35,138.6,1873559
2022-02-19,138.73,139.65,141.38,137.9,1425037
2022-02-20,139.05,139.72,139.81,138.35,1730399
2022-02-21,138.67,139.06,139.11,136.81,1978039
2022-02-22,137.99,137.81,138.74,136.15,1899885
2022-02-23,138.6,137.95,140.22,136.02,1608746
2022-02-24,139.63,138.94,141.61,138.7,1012175
2022-02-25,140.56,140.06,140.86,138.6,1905667
2022-02-26,139.72,139.82,141.01,137.85,1316915
2022-02-27,139.41,139.84,140.6,139.05,1499876
2022-02-28,139.75,140.07,142.01,139.61,1913589
2022-03-01,140.72,140.28,142.4,138.8,1645588
2022-03-02,140.24,141.15,142.83,139.09,1611213
2022-03-03,140.06,140.53,141.47,138.37,1768734
2022-03-04,138.95,139.06,139.89,138.67,1066358
2022-03-05,137.75,137.98,138.52,136.16,1410543
2022-03-06,138.57,138.41,138.68,138.0,1047057
2022-03-07,139.92,139.42,141.65,139.09,1268294
2022-03-08,139.85,139.56,141.48,139.23,1790857
2022-03-09,140.85,141.37,143.37,139.22,1254726
2022-03-10,141.22,140.24,143.21,138.91,1278176
2022-03-11,140.57,139.8,141.68,138.76,1526486
2022-03-12,140.93,140.02,142.47,139.31,1978004
2022-03-13,142.47,141.55,144.36,139.8,1708754
2022-03-14,142.43,143.14,144.84,141.65,1937583
2022-03-15,144.0,144.41,144.9,142.37,1167292
2022-03-16,141.38,141.33,142.28,140.45,1959378
2022-03-17,142.2,141.4,142.46,140.64,1144931
2022-03-18,142.29,142.27,144.2,141.35,1443676
2022-03-19,141.99,141.94,143.2,141.33,1162491
2022-03-20,142.08,141.43,142.54,139.93,1381009
2022-03-21,140.09,139.96,141.44,138.96,1401921
2022-03-22,139.87,139.67,141.11,139.21,1960384
2022-03-23,140.23,140.46,141.18,138.43,1260910
2022-03-24,141.71,141.98,142.21,140.94,1023236
2022-03-25,141.19,140.28,142.53,139.19,1087955
2022-03-26,140.38,140.13,141.42,138.32,1740874
2022-03-27,139.88,140.13,141.68,138.63,1627433
2022-03-28,140.8,140.8,141.84,140.56,1670718
2022-03-29,141.12,141.84,143.54,139.24,1230785
2022-03-30,140.59,140.91,142.02,139.34,1094914
2022-03-31,141.11,140.43,142.23,139.76,1889302
2022-04-01,141.2,140.35,142.96,140.07,1207990
2022-04-02,142.17,142.46,143.26,140.58,1378387
2022-04-03,141.47,140.52,141.74,139.28,1538884
2022-04-04,141.14,141.31,141.37,140.08,1951076
2022-04-05,140.75,141.63,143.14,138.96,1996261
2022-04-06,139.29,139.44,140.68,137.71,1656639
2022-04-07,139.58,139.36,140.99,139.06,1194269
2022-04-08,139.84,140.13,140.56,139.22,1897928
2022-04-09,139.85,139.77,140.12,139.27,1392417
2022-04-10,139.62,139.71,139.74,138.13,1980020
2022-04-11,138.2,139.08,139.78,138.13,1138155
2022-04-12,137.78,137.55,138.96,136.41,1120674
2022-04-13,137.44,138.36,139.14,135.91,1906739
2022-04-14,136.63,137.45,138.32,134.88,1781817
2022-04-15,136.47,135.86,138.28,135.18,1764757
2022-04-16,136.88,136.02,137.57,134.37,1935275
2022-04-17,138.76,137.96,139.79,137.74,1947479
2022-04-18,138.94,137.97,140.51,136.28,1963152
2022-04-19,139.2,138.38,139.99,138.13,1256713
2022-04-20,139.12,139.49,140.73,138.33,1441501
2022-04-21,137.2,136.34,138.93,134.75,1543351
2022-04-22,137.18,136.81,139.07,136.51,1067642
2022-04-23,137.24,137.93,138.22,136.78,1090093
2022-04-24,139.7,138.75,141.55,137.3,1507606
2022-04-25,139.51,140.14,141.12,138.07,1217215
2022-04-26,139.81,139.37,140.32,138.09,1955103
2022-04-27,139.77,139.01,140.69,137.62,1707280
2022-04-28,138.6,139.0,140.96,137.52,1683889
2022-04-29,139.75,140.01,140.99,139.24,1035954
2022-04-30,140.5,141.25,141.91,139.81,1027856
2022-05-01,141.29,141.76,143.03,140.93,1526861
2022-05-02,140.38,140.99,141.47,138.56,1995848
2022-05-03,141.78,141.35,141.94,140.18,1559655
2022-05-04,140.38,139.74,140.64,138.94,1495553
2022-05-05,140.97,141.47,141.73,140.05,1762092
2022-05-06,143.16,143.77,144.08,141.27,1886040
2022-05-07,142.17,143.15,143.43,141.86,1322918
2022-05-08,141.6,141.43,142.88,140.26,1023752
2022-05-09,141.7,141.45,142.07,140.43,1841461
2022-05-10,141.2,141.75,142.44,139.98,1148757
2022-05-11,139.65,139.33,141.44,139.29,1916714
2022-05-12,139.72,140.58,141.53,137.97,1313837
2022-05-13,138.65,139.37,140.71,136.79,1116739
2022-05-14,139.13,138.99,139.47,137.86,1842393
2022-05-15,138.21,138.71,139.1,136.82,1238009
2022-05-16,139.76,140.27,140.35,137.91,1780316
2022-05-17,138.98,138.18,139.31,136.77,1207980
2022-05-18,138.65,139.46,140.02,138.35,1256609
2022-05-19,139.47,139.48,139.83,138.31,1388822
2022-05-20,138.24,138.89,139.07,137.02,1336676
2022-05-21,138.46,138.1,138.7,137.26,1344138
2022-05-22,139.77,140.56,141.48,138.3,1318277
2022-05-23,138.16,137.94,138.58,136.07,1518271
2022-05-24,138.35,137.37,139.08,135.52,1323412
2022-05-25,138.61,139.42,140.43,137.71,1485417
2022-05-26,139.39,138.57,140.77,138.35,1431459
2022-05-27,138.15,137.79,138.23,135.82,1188456
2022-05-28,136.83,137.73,139.33,135.15,1555941
2022-05-29,137.35,138.26,139.51,137.1,1157729
2022-05-30,137.65,137.8,137.96,135.81,1957456
2022-05-31,137.9,138.17,139.91,136.16,1939684
2022-06-01,138.25,138.14,140.09,137.11,1228504
2022-06-02,137.57,137.15,137.69,135.97,1646117
2022-06-03,137.8,137.46,138.35,136.66,1652665
2022-06-04,138.09,138.44,140.05,137.98,1995915
2022-06-05,137.38,137.88,139.38,136.71,1525910
2022-06-06,139.24,139.83,140.2,137.64,1573044
2022-06-07,139.72,140.3,140.72,139.71,1040809
2022-06-08,138.53,137.71,139.27,137.04,1541013
2022-06-09,139.18,139.17,140.15,138.38,1716756
2022-06-10,138.21,137.32,139.45,136.25,1051226
2022-06-11,139.0,139.1,139.83,137.16,1499512
2022-06-12,140.15,140.04,141.08,139.35,1605470
2022-06-13,139.33,140.11,141.6,138.64,1475781
2022-06-14,140.3,140.0,140.37,138.52,1029402
2022-06-15,140.71,139.94,141.22,139.04,1004263
2022-06-16,141.53,140.82,142.96,140.37,1751883
2022-06-17,143.43,143.95,145.74,142.52,1177900
2022-06-18,143.18,143.42,144.44,142.9,1572212
2022-06-19,142.43,141.63,143.49,141.28,1336326
2022-06-20,141.54,140.71,141.75,139.71,1224137
2022-06-21,140.72,141.13,142.02,139.89,1452268
2022-06-22,140.65,139.79,141.71,137.96,1929168
2022-06-23,140.99,141.63,142.12,140.26,1297881
2022-06-24,141.27,141.68,142.22,140.1,1363476
2022-06-25,142.09,141.26,142.85,139.99,1351707
2022-06-26,142.11,141.28,142.15,141.25,1684733
2022-06-27,143.56,144.53,145.18,142.23,1510585
2022-06-28,143.29,143.04,143.72,142.69,1691757
2022-06-29,146.01,145.76,146.67,143.83,1390719
2022-06-30,146.64,147.27,147.51,146.34,1479361
2022-07-01,145.78,146.68,148.46,144.95,1101371
2022-07-02,144.71,145.68,146.87,144.54,1562997
2022-07-03,145.19,145.7,147.06,143.2,1192192
2022-07-04,144.97,144.72,146.55,143.72,1150322
2022-07-05,145.69,144.85,146.68,143.66,1021172
2022-07-06,146.16,146.71,146.89,146.02,1535843
2022-07-07,146.09,146.2,147.28,144.59,1996121
2022-07-08,145.24,145.09,146.41,144.67,1577564
2022-07-09,143.72,144.54,146.03,141.93,1581780
2022-07-10,143.28,142.5,144.14,142.09,1708362
2022-07-11,144.13,144.12,144.39,143.74,1513319
2022-07-12,144.35,143.37,144.92,143.3,1780298
2022-07-13,143.1,143.04,143.83,142.1,1876031
2022-07-14,143.28,142.39,144.57,141.26,1989859
2022-07-15,143.66,142.9,144.8,142.77,1222320
2022-07-16,142.78,142.01,143.49,140.46,1417978
2022-07-17,142.93,143.23,145.2,142.02,1011046
2022-07-18,142.99,143.48,144.69,141.94,1228071
2022-07-19,141.85,142.01,142.49,140.96,1378165
